gene,AGH,CFB,CGC,CHC,HPB,Overall
LRP4,50.13528801044478,29.23768730611836,30.473340052634217,33.42678534854497,38.64350095777196,36.38332033510286
SMC5,27.183608283604094,39.32350101931883,31.2422835933112,41.26490710103556,42.28188869409181,36.2592377382723
FHL2,36.097840068065835,34.44050135058356,43.32532269841003,24.032424956328104,43.18362310421463,36.21594243552043
HSPH1,31.440489757339137,30.40273669046571,39.7963663263673,34.5319617690673,44.47183441877331,36.12867779240255
TMEM255A,49.60777256962849,30.08799047497349,26.230897876352323,35.03626712494042,39.308294251250366,36.054244459429015
TGS1,44.08783839026773,54.5608141355683,26.974476461730085,37.31815169487348,16.203021243504764,35.82886038518887
TTLL3,36.14788332481267,49.183011863476956,25.419492635960527,53.48835683436103,14.283491700802958,35.70444727188283
ATG5,34.91872058687321,50.8180414780971,15.022544207051315,36.55928419698111,40.51433115993322,35.56658432578719
ACSM2A,26.078215806970185,23.398041551555682,45.18451117945218,33.36411080829715,49.741837728907,35.55334341503644
FBXO3,36.4195782524155,42.552953307925826,43.415811738092586,24.079695226163107,31.068046691610657,35.50721704324153
STAG3,30.566272624351775,32.04787037913505,33.17127810366405,44.96482885228523,35.61933347156313,35.27391668619985
NFASC,18.32466553326694,30.277676770920397,43.891844894639476,36.47429013377373,45.980341927808865,34.98976385208188
VEGFD,35.9075488723286,46.03382925786603,24.668877431329896,31.060709446607397,36.73801036355708,34.8817950743378
TSR2,37.86752643213332,29.911077149624642,37.13012635943995,36.331739415591436,32.68640208955823,34.78537428926951
CNN2,18.251239167974358,30.692316989131424,43.00607639293892,41.22822575081735,39.780566152764834,34.591684890725375
LGI4,23.789336323655636,28.806196761899646,35.514288472155215,48.710923674136914,35.94375920890478,34.55290088815044
RALBP1,32.713797966886425,52.624211302186566,21.7888834243346,44.191366316728036,20.844636926115943,34.43257918725031
XNDC1N,26.715978888131627,22.77526623886018,54.40859883780931,13.603934729561459,54.40842197212802,34.38244013329812
SLC6A18,59.82369946678031,40.58060160455138,27.003590441694847,22.818562690071236,19.41759853965222,33.92881054855
LYRM4,46.407955047454095,38.58577987878987,4.166380815226659,35.79771784162446,44.263290043812646,33.844224725381544
SF3A3,38.54295906964001,33.38014650672109,21.268657489330206,44.133076080850806,31.553504657788622,33.77566876086615
VWC2L,38.11779347589816,48.78371228012924,11.625713174660344,46.325545232367276,21.927195038441745,33.35599184029935
OR6C74,39.24169912096636,41.15881140962516,43.240506058663584,12.909258284647304,28.892882362024807,33.08863144718544
CCER2,27.753593724585524,7.254124070804796,39.47359199957461,30.688446468164663,59.81117814717823,32.996186882061565
TADA1,24.06668230107879,17.63246466267307,42.75980050352955,39.11879903102395,40.00037693382274,32.71562468642562
MIB1,34.63045270411324,33.96966975730474,36.085699624032586,28.996200711769028,29.869737770820727,32.71035211360807
FIGNL1,47.74151172838124,21.93602659437246,37.16262793501828,24.580113711709135,32.054552997600716,32.69496659341637
GRIFIN,30.62289344210103,44.34377195770664,35.17284689857266,27.860872744301407,25.431438634229846,32.68636473538232
ZNRF2,39.49629695646407,38.185011393524846,15.933076140811176,34.53994818616749,34.14243308871606,32.45935315313673
RBMX2,32.400196735336046,32.19527457618972,38.579678222956524,35.205978336798,23.843595526817573,32.444944679619574
ZFAND4,46.735140095778235,39.001281567342126,20.990063934044052,41.764743670773335,13.409535439507072,32.380152941488966
UBL3,31.67795749551129,21.757512912134892,47.514890382589876,29.983033977112743,30.076215991231575,32.201922151716076
MRPS7,34.26696342180776,41.23103932359978,21.37639122715,33.45023040162694,30.417605767370866,32.14844602831107
LYPLA1,11.906229921486826,33.7848797937105,35.16204009967936,28.932776345640555,50.61855379400559,32.080895990904565
PORCN,32.393963554316024,30.368821906734794,31.86496127169354,33.94574043956089,31.773719099784042,32.06944125441786
TTC31,36.25220458241407,27.60026177543957,25.64590438683959,35.175678473327025,35.00202538421001,31.935214920446054
HTRA3,22.214085042785626,43.86284071702897,22.571369782362897,37.77724527520872,32.999089717997236,31.88492610707669
TCEANC2,29.08774620696776,22.07753464352952,32.18547281007023,28.275843853927462,47.04828137043783,31.73497577698656
GFRA4,46.84317889807439,38.58079229687285,20.796333997666178,26.158041488311756,25.98289467281274,31.672248270747584
BNIP1,42.39988975173225,32.036657901289054,31.5172031352904,25.652352563770187,26.65803978622933,31.652828627662245
ATE1,45.19485782700668,25.71122563891624,40.92165435162746,10.880256827843194,35.19036429143338,31.579671787365392
G6PC1,41.42351158709662,33.27564918631744,17.977611721302775,34.390752092186375,30.808378053498327,31.575180528080306
ABL1,39.96318688587909,49.5029758778546,15.663993928308015,34.88565679291909,17.718245187611444,31.54681173451445
DUX1,17.387800590496724,23.926222230017757,35.99331653675101,44.162999697027495,35.83829105415852,31.4617260216903
DNAJB5,31.718950039413095,38.86218828173071,30.103214752559072,25.94563641496463,30.448249734866767,31.415647844706854
KIR2DS4,34.28578394088242,42.1918529073374,25.714317329055405,20.727254734925044,34.14045836968078,31.411933456376207
PTK7,28.70580933472544,37.19219939137688,42.37950838520062,15.771038819118289,32.9695586489645,31.403622915877147
OR6C6,38.06289632080046,40.464603210459835,10.616192977146117,28.5061163556596,39.109540791750085,31.35186993116322
HAUS3,21.732262565707295,30.034778639094366,34.61294716145271,26.489638191880054,43.88391700053589,31.35070871173406
RPL19,38.340589724254315,35.40239467563066,37.40056887164337,30.68857483371361,13.351048177276192,31.03663525650363
H2BC12,27.750445160080282,34.93024205656464,22.199444750336124,39.28163314846888,30.885381218463827,31.00942926678275
LHFPL3,33.46714341453287,25.503905449173953,35.73976817993487,23.894319269558377,35.70761096893047,30.86254945642611
AKAP12,27.99799980544587,40.663633684899686,27.038565400490917,32.81652807572842,25.74325979696298,30.851997352705574
ROCK1,20.147602884159195,39.109441722245435,24.22265813608096,39.31242463581007,31.129206380298967,30.784266751718924
B3GAT1,26.49468025537359,40.50824733914955,22.47009086486412,28.325048946607517,36.0480341148713,30.769220304173214
DGCR6L,28.526230216161753,26.83865516913928,19.205439217947372,37.05889282357418,41.545012137908365,30.63484591294619
LZTS3,26.856498580351335,29.665910415584033,31.74535184143428,31.140544173823464,33.502990414867355,30.582259085212094
PDE3A,28.074715248812034,23.69281702191037,23.78714892271762,44.53521763915398,32.77023565363644,30.572026897246086
KCNK5,37.42796018554556,25.05929197239355,13.8025763585678,38.18727822028175,38.348908197162736,30.56520298679028
TNFRSF4,25.086953099558958,36.208753260432474,28.649473941055643,37.551186803488505,25.101252555715426,30.519523932050202
MXD1,32.20631147572285,29.85744105076386,28.36950758079705,37.48556056632664,24.167415756560352,30.41724728603415
OPRM1,35.7132869106773,21.79418706711886,21.01581249850943,24.67190970214716,48.582776967571625,30.355594629204873
CHRNA3,25.640863015616038,37.477994642411275,37.53272699902891,15.16412672399729,35.96157916779611,30.355458109769923
ZFP82,20.82169341950209,45.84271636771908,35.76732752814197,24.53464854525316,24.693598353304303,30.33199684278412
TUBB4A,34.71040140275412,12.83278302040195,45.37098642593938,25.41065656966798,32.60477675577956,30.1859208349086
LCOR,31.329384341230654,30.063012518590888,26.056608834277895,25.87436244192194,37.26306885498089,30.117287398200453
NPTN,33.05263585712018,38.50644426636367,27.184630951638884,37.445318173840526,13.177528953559175,29.873311640504486
NDOR1,9.269288280785362,29.11154112158576,51.44626883804223,39.397542768339235,20.04101997612912,29.85313219697634
UFC1,28.543415172162987,37.604337719222,22.075209167097437,34.63343563611519,26.303292955336342,29.831938129986792
NTRK3,27.291384844918127,31.178489005494704,21.52053939745364,39.7926235065374,29.01157665828683,29.75892268253814
WDR76,35.704841322722366,35.24264246910842,15.993517881371217,41.491956997483186,20.319430643131493,29.750477862763336
DDX51,45.57214964080588,27.886518782934544,20.01332331339627,32.48965080240298,22.765888929648135,29.74550629383756
STC2,26.862381357324523,28.577938642403872,33.43415586540971,36.045042309438436,23.599363457187025,29.703776326352713
HJURP,28.124311076729953,34.07099525654399,39.017196352022374,28.9592209127171,18.25369592532669,29.68508390466802
LCK,19.03033457460147,19.750262590147614,40.96138448106492,20.03975873821235,48.55883939398093,29.668115955601458
UPF3A,29.911911146974873,24.464380479892924,13.4083609894187,40.3565330395802,40.069094069014724,29.642055944976285
